trade_date,scheme,group,hold_year,score_year,score_lag_years,holding_count,tradable_holding_count,daily_ret,nav,benchmark_ret,benchmark_nav,excess_nav
2023-05-22,方案B_LGBM打分,A,2023,2021,2,14,12,0.0051033517052076855,1328685.1822998843,0.006284,984732.288004865,343952.8942950192
2023-05-23,方案B_LGBM打分,A,2023,2021,2,14,12,-0.00602575355098368,1320678.8528445014,-0.014143,970805.2192556121,349873.63358888926
2023-05-24,方案B_LGBM打分,A,2023,2021,2,14,12,-0.01564327788906376,1300019.106547245,-0.013824000000000001,957384.8079046226,342634.2986426224
2023-05-25,方案B_LGBM打分,A,2023,2021,2,14,12,-0.0009321302663126604,1298807.3193912476,-0.0022270000000000002,955252.7119374191,343554.60745382844
2023-05-26,方案B_LGBM打分,A,2023,2021,2,14,12,-0.003648112438651735,1294069.1242539645,0.000117,955364.4765047156,338704.6477492489
2023-05-29,方案B_LGBM打分,A,2023,2021,2,14,12,0.002363796018105916,1297128.0396970299,-0.004417,951144.6316119944,345983.4080850355
2023-05-30,方案B_LGBM打分,A,2023,2021,2,14,12,0.0061669961488708125,1305127.4233224338,0.000994,952090.0693758166,353037.3539466172
2023-05-31,方案B_LGBM打分,A,2023,2021,2,14,12,-0.013831153296065287,1287076.0058595624,-0.010217,942362.5651370039,344713.44072255853
2023-06-01,方案B_LGBM打分,A,2023,2021,2,14,12,-0.003481798911205499,1282594.666023722,0.002191,944427.2815172191,338167.38450650277
2023-06-02,方案B_LGBM打分,A,2023,2021,2,14,12,0.0019879748407591416,1285144.431950669,0.014439,958063.8670350463,327080.5649156227
2023-06-05,方案B_LGBM打分,A,2023,2021,2,14,12,-0.002281269238412459,1282212.671491143,-0.004553,953701.8022484357,328510.8692427074
2023-06-06,方案B_LGBM打分,A,2023,2021,2,14,12,-0.002731962187800502,1278709.7149559106,-0.009387,944749.4034307295,333960.31152518105
2023-06-07,方案B_LGBM打分,A,2023,2021,2,14,12,-0.005573934394472087,1271582.2708951721,-0.004941999999999999,940080.4518789749,331501.81901619723
2023-06-08,方案B_LGBM打分,A,2023,2021,2,14,12,0.008350703129258433,1282200.876943846,0.00814,947732.7067572698,334468.1701865762
2023-06-09,方案B_LGBM打分,A,2023,2021,2,14,12,0.003975072212845386,1287297.7180210713,0.0043230000000000005,951829.7552485816,335467.96277248964
2023-06-12,方案B_LGBM打分,A,2023,2021,2,14,12,-0.005719184121504471,1279935.4253525161,0.0020150000000000003,953747.6922054075,326187.7331471086
2023-06-13,方案B_LGBM打分,A,2023,2021,2,14,12,-0.003524851531743959,1275423.843007929,0.005326,958827.3524140936,316596.49059383536
2023-06-14,方案B_LGBM打分,A,2023,2021,2,14,12,0.0022726379005065986,1278322.4195727587,-0.000228,958608.7397777432,319713.6797950155
2023-06-15,方案B_LGBM打分,A,2023,2021,2,14,12,0.014358807764053174,1296677.605455883,0.015909,973859.2462188673,322818.35923701583
2023-06-16,方案B_LGBM打分,A,2023,2021,2,14,12,0.013587286088572173,1314295.935045857,0.009642,983249.1970709094,331046.73797494755
2023-06-19,方案B_LGBM打分,A,2023,2021,2,14,12,-0.009267249966996674,1302116.0260851793,-0.008186,975200.3191436869,326915.7069414924
2023-06-20,方案B_LGBM打分,A,2023,2021,2,14,12,-0.004297323007680098,1296520.4129276143,-0.001697,973545.4042021001,322975.00872551417
2023-06-21,方案B_LGBM打分,A,2023,2021,2,14,12,-0.003765258083153441,1291638.6789628651,-0.015342,958609.2706108316,333029.4083520336
2023-06-26,方案B_LGBM打分,A,2023,2021,2,14,12,-0.00794492802241134,1281376.7026275427,-0.014061999999999998,945129.3070475021,336247.3955800405
2023-06-27,方案B_LGBM打分,A,2023,2021,2,14,12,0.010422617811062193,1294732.0022710287,0.009381,953995.5650769147,340736.43719411397
2023-06-28,方案B_LGBM打分,A,2023,2021,2,14,12,0.00413728238813954,1300088.6741813854,-0.001205,952846.0004209972,347242.6737603883
2023-06-29,方案B_LGBM打分,A,2023,2021,2,14,12,-0.0018997046914398519,1297618.8896277552,-0.004935,948143.7054089195,349475.18421883567
2023-06-30,方案B_LGBM打分,A,2023,2021,2,14,12,0.004888937482184728,1303962.8672548472,0.005392,953256.0962684844,350706.7709863628
2023-07-03,方案B_LGBM打分,A,2023,2021,2,14,12,0.01018846688974854,1317248.2497533348,0.013125,965767.5825320083,351480.6672213265
2023-07-04,方案B_LGBM打分,A,2023,2021,2,14,12,0.007600433692543272,1327259.9077322036,0.001575,967288.6664744964,359971.24125770724
2023-07-05,方案B_LGBM打分,A,2023,2021,2,14,12,-0.002153587929863939,1324401.5368151192,-0.0077480000000000005,959794.113886652,364607.42292846716
2023-07-06,方案B_LGBM打分,A,2023,2021,2,14,12,-0.009288211788495584,1312100.2148481715,-0.006734,953330.8603237392,358769.3545244322
2023-07-07,方案B_LGBM打分,A,2023,2021,2,14,12,0.0007090158141559074,1313030.5146502561,-0.004438,949099.9779656224,363930.5366846337
2023-07-10,方案B_LGBM打分,A,2023,2021,2,14,12,0.004511903080150055,1318954.7810736378,0.004869,953721.145758337,365233.6353153008
2023-07-11,方案B_LGBM打分,A,2023,2021,2,14,12,0.00040183975470046523,1319484.7895393255,0.006545,959963.2506573254,359521.53888200014
2023-07-12,方案B_LGBM打分,A,2023,2021,2,14,12,-0.005122982949094588,1312725.0914609258,-0.006732,953500.7780539003,359224.3134070254
2023-07-13,方案B_LGBM打分,A,2023,2021,2,14,12,0.012301232397102365,1328873.227884494,0.014306000000000001,967141.5601847394,361731.6676997546
2023-07-14,方案B_LGBM打分,A,2023,2021,2,14,12,-0.004731418667911787,1322585.772286793,0.000174,967309.8428162115,355275.92947058147
2023-07-17,方案B_LGBM打分,A,2023,2021,2,14,12,-0.0064968187163876034,1313993.1722873722,-0.008187999999999999,959389.5098232323,354603.66246413987
2023-07-18,方案B_LGBM打分,A,2023,2021,2,14,12,-0.0006894486791472291,1313087.24143033,-0.003164,956354.0014141517,356733.24001617834
2023-07-19,方案B_LGBM打分,A,2023,2021,2,14,12,0.0015452526213096767,1315116.2929321588,-0.001057,955343.135234657,359773.1576975018
