natural_week,natural_week_start,natural_week_end,price_week_close_date,open,high,low,close,volume,trading_days,Ret_t
2017-04-24/2017-04-30,2017-04-24,2017-04-30,2017-04-28,3458.23,3466.57,3399.54,3439.75,545603744.0,5,-0.0077997225098722645
2017-05-01/2017-05-07,2017-05-01,2017-05-07,2017-05-05,3427.92,3436.31,3366.56,3382.55,397844496.0,4,-0.016629115488044133
2017-05-08/2017-05-14,2017-05-08,2017-05-14,2017-05-12,3369.11,3387.27,3312.89,3385.38,495242928.0,5,0.0008366469083975758
2017-05-15/2017-05-21,2017-05-15,2017-05-21,2017-05-19,3391.59,3433.97,3373.55,3403.85,445189984.0,5,0.005455812936804749
2017-05-22/2017-05-28,2017-05-22,2017-05-28,2017-05-26,3400.59,3498.31,3383.89,3480.43,526966536.0,5,0.022498053674515628
2017-05-29/2017-06-04,2017-05-29,2017-06-04,2017-06-02,3495.07,3515.08,3470.2,3486.51,290625480.0,3,0.001746910582887784
2017-06-05/2017-06-11,2017-06-05,2017-06-11,2017-06-09,3480.17,3590.89,3460.45,3576.17,439660676.0,5,0.02571626067328059
2017-06-12/2017-06-18,2017-06-12,2017-06-18,2017-06-16,3570.22,3603.69,3508.95,3518.76,408454328.0,5,-0.016053487390140786
2017-06-19/2017-06-25,2017-06-19,2017-06-25,2017-06-23,3520.06,3635.53,3520.06,3622.88,488822656.0,5,0.029589969193693166
2017-06-26/2017-07-02,2017-06-26,2017-07-02,2017-06-30,3627.02,3676.53,3627.02,3666.8,497217088.0,5,0.012122951905666257
2017-07-03/2017-07-09,2017-07-03,2017-07-09,2017-07-07,3667.23,3667.6,3610.46,3655.93,478239448.0,5,-0.0029644376568125352
2017-07-10/2017-07-16,2017-07-10,2017-07-16,2017-07-14,3647.94,3703.09,3640.59,3703.09,592824088.0,5,0.01289959052826517
2017-07-17/2017-07-23,2017-07-17,2017-07-23,2017-07-21,3700.62,3751.69,3621.37,3728.6,746272704.0,5,0.006888841481033303
