code,period,start,end,obs,alpha_daily,alpha_annual,alpha_t,alpha_pvalue,beta,beta_t,beta_pvalue,r2,stock_total_return,market_total_return,alpha_rank
sh.600028,2019-2021,2019-01-01,2021-12-31,729,-0.00047872421256861243,-0.12063850156729033,-1.0624147978634446,0.2884001995750757,0.3772271618417846,10.806019467918851,2.410633681987146e-25,0.13839085164037646,-0.15568862275449236,0.6636858295995842,36
sh.601988,2019-2021,2019-01-01,2021-12-31,729,-0.00048505788723598455,-0.12223458758346811,-1.840691857921392,0.0660740830429087,0.3558308826154486,17.42951210064689,4.126895043728957e-57,0.294714261202216,-0.13841807909604587,0.6636858295995842,37
sh.601138,2019-2021,2019-01-01,2021-12-31,729,-0.0004931044579225898,-0.12426232339649262,-0.6714607996039891,0.5021403180192993,1.0484530775389609,18.428280120951403,1.6115162971638782e-62,0.31839586349750293,0.02758620689655289,0.6636858295995842,38
sh.601288,2019-2021,2019-01-01,2021-12-31,729,-0.0005123906609618988,-0.1291224465623985,-1.8025032211057843,0.07188031708783532,0.3390532114380469,15.395605640525803,1.6810414216755245e-46,0.24586992394239449,-0.16477272727272652,0.6636858295995842,39
sh.600547,2019-2021,2019-01-01,2021-12-31,729,-0.0005859429236019319,-0.14765761674768685,-0.5918738735974313,0.5541190590161977,0.34572997073187506,4.507803302675286,7.632678525499432e-06,0.02719087233516837,-0.3829508196721305,0.6636858295995842,40
sh.600000,2019-2021,2019-01-01,2021-12-31,729,-0.0005899359447651304,-0.14866385808081287,-1.511822257680189,0.13101362943759817,0.608901820530377,20.141750908638578,4.912339792116991e-72,0.3581651495324665,-0.12061855670102906,0.6636858295995842,41
sh.601668,2019-2021,2019-01-01,2021-12-31,729,-0.0005957666785973241,-0.1501332030065257,-1.3815893100592314,0.1675222636169659,0.6717050744956737,20.106452675317584,7.760748829904798e-72,0.35735910931714965,-0.10714285714285665,0.6636858295995842,42
sh.601601,2019-2021,2019-01-01,2021-12-31,729,-0.0006013500251281588,-0.15154020633229603,-0.956332233170018,0.3392223056081626,1.0553558295363057,21.663790427853787,1.105505290560026e-80,0.392302969107458,-0.010218978102193743,0.6636858295995842,43
sh.601390,2019-2021,2019-01-01,2021-12-31,729,-0.0006434598590183727,-0.16215188447262993,-1.3040960140794065,0.19261358577827617,0.65389716300189,17.106124676070362,2.1934115282318727e-55,0.2869889218693179,-0.15720524017467408,0.6636858295995842,44
sh.601319,2019-2021,2019-01-01,2021-12-31,729,-0.0007132695152527082,-0.17974391784368246,-1.070071781289825,0.2849421367930807,1.0241698178547758,19.83285759341906,2.6668245071890647e-70,0.35109114533447916,-0.10984848484848742,0.6636858295995842,45
sh.601318,2019-2021,2019-01-01,2021-12-31,729,-0.0007171231856466591,-0.1807150427829581,-1.583672086679876,0.11370324713636125,0.9421535285325725,26.856366116569312,6.627726616321783e-111,0.4980198370515504,-0.08644436389996113,0.6636858295995842,46
sh.600104,2019-2021,2019-01-01,2021-12-31,729,-0.0007275125168591054,-0.18333315424849456,-1.041726465207578,0.2978848098941284,0.871695542629968,16.111357147113548,3.6361005625964137e-50,0.2631078336400112,-0.18264659270998596,0.6636858295995842,47
sh.601857,2019-2021,2019-01-01,2021-12-31,729,-0.0007662423148230568,-0.19309306333541032,-1.6062752167405048,0.10864768405089181,0.39388612454518535,10.65807031145883,9.604219224690852e-25,0.13513586847870118,-0.31424581005586893,0.6636858295995842,48
sh.600050,2019-2021,2019-01-01,2021-12-31,729,-0.0008202577829224305,-0.20670496129645247,-1.5634376926062283,0.11838484627797279,0.731267677185369,17.991222213004676,3.8725999476722224e-60,0.30806984124941394,-0.23984526112185678,0.6636858295995842,49
sh.600016,2019-2021,2019-01-01,2021-12-31,729,-0.0008581104950334156,-0.21624384474842073,-2.928926628991635,0.003507756758571343,0.4703911227509728,20.72423307301027,2.513475605521118e-75,0.3713758110267754,-0.3097345132743353,0.6636858295995842,50
