week,week_start,week_end,week_id,open,high,low,close,volume,return
2014-03-31,2014-03-25,2014-03-31,249,2170.78,2191.49,2134.42,2146.3,341972384.0,-0.013898141554294585
2014-04-08,2014-04-01,2014-04-08,250,2143.72,2243.97,2141.15,2237.32,330606700.0,0.04240786469738622
2014-04-15,2014-04-09,2014-04-15,251,2239.79,2290.74,2225.68,2229.46,402001700.0,-0.0035131317826686548
2014-04-22,2014-04-16,2014-04-22,252,2223.47,2245.31,2165.07,2196.8,264142608.0,-0.01464928727135717
2014-04-29,2014-04-23,2014-04-29,253,2191.23,2209.45,2131.78,2158.47,261757948.0,-0.017448106336489633
2014-05-08,2014-04-30,2014-05-08,254,2158.76,2173.62,2128.32,2135.5,235705140.0,-0.01064179719894176
2014-05-15,2014-05-09,2014-05-15,255,2138.84,2185.05,2120.6,2144.08,292814456.0,0.004017794427534582
2014-05-22,2014-05-16,2014-05-22,256,2143.93,2160.91,2096.51,2130.87,207645264.0,-0.006161150703332008
2014-05-29,2014-05-23,2014-05-29,257,2130.77,2178.09,2128.66,2155.16,208018748.0,0.011399099898163678
2014-06-06,2014-05-30,2014-06-06,258,2156.38,2168.99,2117.31,2134.72,199939544.0,-0.009484214629076337
2014-06-13,2014-06-09,2014-06-13,259,2128.22,2183.64,2126.67,2176.24,234661404.0,0.01944985759256479
2014-06-20,2014-06-16,2014-06-20,260,2176.44,2196.34,2119.5,2136.73,258250800.0,-0.01815516670955397
2014-06-27,2014-06-23,2014-06-27,261,2137.93,2159.53,2126.03,2150.26,216083776.0,0.006332105600614035
2014-07-04,2014-06-30,2014-07-04,262,2152.31,2184.96,2152.31,2178.69,283854580.0,0.01322165691590782
2014-07-11,2014-07-07,2014-07-11,263,2178.55,2186.2,2134.79,2148.01,280114752.0,-0.014081856528464276
2014-07-18,2014-07-14,2014-07-18,264,2149.54,2183.25,2145.28,2164.14,344461656.0,0.007509276027578782
2014-07-25,2014-07-21,2014-07-25,265,2164.22,2260.89,2158.96,2260.45,435337092.0,0.04450266618610632
2014-08-01,2014-07-28,2014-08-01,266,2272.38,2371.5,2272.38,2329.4,674466968.0,0.03050277599593021
2014-08-08,2014-08-04,2014-08-08,267,2336.63,2380.77,2319.29,2331.13,548386280.0,0.00074268051858839
2014-08-15,2014-08-11,2014-08-15,268,2338.01,2370.51,2333.12,2360.63,485433608.0,0.012654806896226223
2014-08-22,2014-08-18,2014-08-22,269,2366.27,2379.8,2333.3,2365.36,512161800.0,0.002003702401477625
2014-08-29,2014-08-25,2014-08-29,270,2367.02,2367.61,2309.64,2338.29,392596248.0,-0.011444346737917388
2014-09-05,2014-09-01,2014-09-05,271,2340.92,2450.63,2338.53,2449.26,566315872.0,0.0474577575920867
2014-09-15,2014-09-09,2014-09-15,272,2452.23,2461.47,2412.62,2437.19,591759776.0,-0.004928019075149281
2014-09-22,2014-09-16,2014-09-22,273,2440.34,2442.92,2374.11,2378.92,631992632.0,-0.023908681719521208
2014-09-29,2014-09-23,2014-09-29,274,2379.52,2462.67,2379.52,2447.8,589109992.0,0.028954315403628472
2014-10-13,2014-09-30,2014-10-13,275,2452.17,2488.11,2430.55,2454.95,654909416.0,0.0029209902769833374
2014-10-20,2014-10-14,2014-10-20,276,2451.09,2480.3,2410.4,2454.71,645557584.0,-9.776166520691909e-05
2014-10-27,2014-10-21,2014-10-27,277,2453.41,2459.25,2361.68,2368.83,437227264.0,-0.03498580280358987
2014-11-03,2014-10-28,2014-11-03,278,2373.15,2524.17,2373.15,2512.55,894707120.0,0.0606713018663223
2014-11-10,2014-11-04,2014-11-10,279,2511.04,2565.73,2482.98,2565.73,993750624.0,0.02116574794531445
2014-11-17,2014-11-11,2014-11-17,280,2578.44,2614.09,2532.57,2567.1,1051741584.0,0.0005339610948931206
2014-11-24,2014-11-18,2014-11-24,281,2565.27,2667.67,2522.84,2649.26,802106056.0,0.03200498617116598
2014-12-01,2014-11-25,2014-12-01,282,2650.08,2855.33,2643.84,2819.81,1472849984.0,0.06437646739089398
2014-12-08,2014-12-02,2014-12-08,283,2807.34,3270.88,2804.29,3252.88,2263778496.0,0.1535812696600125
2014-12-15,2014-12-09,2014-12-15,284,3233.1,3387.83,3058.19,3217.23,2016244096.0,-0.010959518949361868
2014-12-22,2014-12-16,2014-12-22,285,3221.36,3455.21,3207.69,3394.48,2123248064.0,0.055093978360266416
2014-12-29,2014-12-23,2014-12-29,286,3358.8,3524.28,3188.49,3455.46,1806614400.0,0.01796445994673701
2015-01-07,2014-12-30,2015-01-07,287,3450.81,3683.23,3422.17,3643.79,1866520160.0,0.054502150220231194
2015-01-14,2015-01-08,2015-01-14,288,3650.07,3689.75,3461.32,3502.42,1294719344.0,-0.03879751577341173
2015-01-21,2015-01-15,2015-01-21,289,3501.72,3662.16,3325.68,3548.88,1485770672.0,0.013265113835576603
2015-01-28,2015-01-22,2015-01-28,290,3551.05,3627.81,3510.02,3525.32,1292681360.0,-0.00663871418588402
2015-02-04,2015-01-29,2015-02-04,291,3474.91,3514.22,3347.09,3401.77,987432160.0,-0.03504646386710997
2015-02-11,2015-02-05,2015-02-11,292,3487.95,3487.95,3285.93,3434.12,919371488.0,0.009509755215667104
2015-02-25,2015-02-12,2015-02-25,293,3435.36,3536.82,3405.63,3478.73,853680672.0,0.012990227481858518
2015-03-04,2015-02-26,2015-03-04,294,3473.71,3608.69,3456.87,3530.82,1161821472.0,0.014973855401252845
