date,code,close,volume,amount,name,display_code,log_return
2024-04-15,sh.600519,1672.98,3581771,5960815531.8,贵州茅台,600519.SH,0.023557111238214468
2024-04-16,sh.600519,1670.0,2626623,4382796962.26,贵州茅台,600519.SH,-0.0017828409319431415
2024-04-17,sh.600519,1667.0,2481911,4130322017.81,贵州茅台,600519.SH,-0.001798022660006282
2024-04-18,sh.600519,1670.78,2656841,4445487745.15,贵州茅台,600519.SH,0.002264979486959362
2024-04-19,sh.600519,1646.64,2349992,3879233241.82,贵州茅台,600519.SH,-0.01455373518700842
2024-04-22,sh.600519,1675.06,2995139,5001684634.65,贵州茅台,600519.SH,0.01711213746239082
2024-04-23,sh.600519,1692.28,2497995,4217855278.96,贵州茅台,600519.SH,0.010227746595530718
2024-04-24,sh.600519,1693.6,1708643,2893555635.0,贵州茅台,600519.SH,0.0007797087119882917
2024-04-25,sh.600519,1693.04,1447648,2447183878.84,贵州茅台,600519.SH,-0.0003307112684565183
2024-04-26,sh.600519,1709.43,3099592,5290248521.35,贵州茅台,600519.SH,0.009634252043269065
2024-04-29,sh.600519,1704.0,4133223,7072096590.12,贵州茅台,600519.SH,-0.003181553206206722
2024-04-30,sh.600519,1705.0,3075989,5273902374.34,贵州茅台,600519.SH,0.0005866823283566802
2024-05-06,sh.600519,1760.2,5990949,10504351711.51,贵州茅台,600519.SH,0.03186232822209423
2024-05-07,sh.600519,1770.0,2492452,4413196426.02,贵州茅台,600519.SH,0.00555210762816305
2024-05-08,sh.600519,1763.97,1476909,2603293863.23,贵州茅台,600519.SH,-0.0034125959484763158
2024-05-09,sh.600519,1756.0,2238734,3929804849.36,贵州茅台,600519.SH,-0.004528455424336109
2024-05-10,sh.600519,1738.98,2620661,4571398242.25,贵州茅台,600519.SH,-0.009739760769479133
2024-05-13,sh.600519,1706.0,3766212,6435415673.6,贵州茅台,600519.SH,-0.01914728537395849
2024-05-14,sh.600519,1701.98,2127417,3623282672.07,贵州茅台,600519.SH,-0.0023591698686633578
2024-05-15,sh.600519,1700.0,1573876,2677203002.27,贵州茅台,600519.SH,-0.0011640281386542384
2024-05-16,sh.600519,1704.5,2967954,5048754768.56,贵州茅台,600519.SH,0.00264356153365064
2024-05-17,sh.600519,1715.0,2892388,4936920634.17,贵州茅台,600519.SH,0.006141268022082258
2024-05-20,sh.600519,1709.0,3142572,5401389334.87,贵州茅台,600519.SH,-0.0035046764844492984
2024-05-21,sh.600519,1705.0,1629339,2776847499.0,贵州茅台,600519.SH,-0.002343293397973234
2024-05-22,sh.600519,1697.71,2028568,3443977766.96,贵州茅台,600519.SH,-0.004284826596176572
2024-05-23,sh.600519,1692.01,1888497,3199923320.08,贵州茅台,600519.SH,-0.003363112807252655
2024-05-24,sh.600519,1677.08,2021663,3401323914.95,贵州茅台,600519.SH,-0.008862985395039047
2024-05-27,sh.600519,1670.12,2509791,4199001866.34,贵州茅台,600519.SH,-0.004158705802463025
2024-05-28,sh.600519,1664.64,2352087,3923020375.14,贵州茅台,600519.SH,-0.003286596296454114
2024-05-29,sh.600519,1674.0,1965128,3289173344.7,贵州茅台,600519.SH,0.005607088229188761
2024-05-30,sh.600519,1649.0,3220792,5333306808.36,贵州茅台,600519.SH,-0.01504692848982181
2024-05-31,sh.600519,1648.45,2185665,3617654788.02,贵州茅台,600519.SH,-0.00033359111137443165
2024-06-03,sh.600519,1639.39,3026105,4966041477.44,贵州茅台,600519.SH,-0.005511231040505216
2024-06-04,sh.600519,1653.2,2084108,3432497302.98,贵州茅台,600519.SH,0.008388582229858166
2024-06-05,sh.600519,1644.0,1905557,3140824328.04,贵州茅台,600519.SH,-0.005580507021452519
2024-06-06,sh.600519,1639.81,2561005,4205700983.23,贵州茅台,600519.SH,-0.0025519151679711527
2024-06-07,sh.600519,1619.18,3352455,5453120695.46,贵州茅台,600519.SH,-0.012660533209947644
2024-06-11,sh.600519,1569.0,7024676,11090577610.06,贵州茅台,600519.SH,-0.031481374505173854
2024-06-12,sh.600519,1571.68,3317050,5230086503.44,贵州茅台,600519.SH,0.0017066371935268165
2024-06-13,sh.600519,1555.01,3618597,5654938942.06,贵州茅台,600519.SH,-0.010663134465735524
